,industry,countryCode,organizationTypeCode,organizationSizeCode,ageRange,gender,scoring
788,Information Technology & Services,US,C,H,18-30,Male,Win
789,Financial Services,DE,C,F,18-30,Male,Win
790,Restaurants,DE,P,G,31-40,Male,Loss
792,Medical Device,US,P,C,41-50,Male,Win
793,Information Technology & Services,US,C,H,18-30,Male,Win
796,Pharmaceuticals,DK,P,F,31-40,Male,Loss
798,Computer & Network Security,PL,P,B,18-30,Female,Loss
799,Internet,NL,P,C,18-30,Male,Win
801,Financial Services,US,P,G,31-40,Female,Win
802,Government Administration,CH,N,B,18-30,Male,Loss
803,Information Technology & Services,IE,C,H,31-40,Male,Win
805,Media Production,DE,E,C,41-50,Male,Loss
806,Information Technology & Services,US,C,H,18-30,Female,Win
808,Staffing & Recruiting,GB,P,B,18-30,Male,Win
810,Information Technology & Services,US,C,H,31-40,Male,Win
812,Financial Services,CH,P,F,18-30,Male,Win
813,Internet,US,C,H,31-40,Male,Win
814,Human Resources,BE,P,F,41-50,Male,Loss
816,Staffing & Recruiting,GB,P,B,31-40,Male,Win
817,Information Technology & Services,DE,P,D,18-30,Male,Win
818,Information Technology & Services,CZ,P,D,18-30,Male,Loss
819,Venture Capital,DE,P,A,31-40,Male,Win
820,Construction,GB,C,E,18-30,Female,Loss
821,Semiconductors,US,P,H,18-30,Female,Loss
822,Information Technology & Services,NL,P,C,18-30,Male,Win
823,Financial Services,CH,P,C,31-40,Male,Win
825,Hospital & Health Care,US,N,F,31-40,Male,Loss
826,Management Consulting,US,C,F,31-40,Male,Win
827,Banking,PK,P,F,31-40,Male,Loss
828,Information Technology & Services,GB,C,B,31-40,Male,Win
830,Religious Institutions,US,N,B,31-40,Male,Loss
832,Education Management,JO,P,E,31-40,Male,Loss
833,"Health, Wellness & Fitness",AU,P,D,31-40,Male,Loss
834,Hospital & Health Care,US,C,H,51-60,Male,Win
836,Animation,EG,E,A,18-30,Female,Loss
840,Financial Services,US,P,C,41-50,Male,Win
841,Oil & Energy,NO,P,B,18-30,Male,Win
842,Automotive,EG,C,E,41-50,Male,Loss
843,Nonprofit Organization Management,BR,N,G,18-30,Male,Loss
844,Accounting,US,S,H,31-40,Male,Win
846,Financial Services,DE,C,B,31-40,Male,Win
849,Retail,SE,C,C,41-50,Male,Loss
850,Financial Services,DE,P,C,41-50,Male,Win
851,Information Technology & Services,GB,P,B,31-40,Male,Win
854,Staffing & Recruiting,US,P,E,41-50,Male,Win
857,Computer Software,US,C,H,18-30,Female,Win
859,Internet,US,P,D,18-30,Male,Win
860,Marketing & Advertising,CA,P,E,31-40,Female,Loss
864,Consumer Goods,DE,C,E,31-40,Male,Loss
865,Information Technology & Services,US,C,H,41-50,Male,Win
867,Insurance,CH,C,F,31-40,Male,Loss
868,Supermarkets,US,P,G,41-50,Male,Loss
869,"Health, Wellness & Fitness",DE,D,B,51-60,Male,Loss
871,Computer Software,US,C,E,41-50,Male,Win
875,Staffing & Recruiting,GB,P,B,18-30,Male,Win
878,Information Technology & Services,US,P,E,41-50,Male,Win
880,Financial Services,DE,C,C,41-50,Male,Win
882,Banking,DE,C,F,31-40,Male,Loss
883,Computer Software,FR,P,C,41-50,Male,Win
884,Retail,US,P,B,18-30,Male,Win
885,Marketing & Advertising,DE,P,B,18-30,Male,Win
887,Information Technology & Services,DE,E,A,18-30,Male,Win
888,Financial Services,US,C,H,31-40,Male,Win
889,Nonprofit Organization Management,US,N,E,41-50,Male,Loss
892,Sports,US,P,A,41-50,Male,Win
895,Computer Software,US,C,G,18-30,Female,Win
896,Public Relations,US,N,B,41-50,Female,Win
899,Financial Services,US,P,C,41-50,Male,Win
902,Computer Software,US,P,D,18-30,Female,Win
903,Internet,DE,P,B,31-40,Male,Win
906,Information Technology & Services,US,P,G,18-30,Male,Win
907,Design,DE,P,B,41-50,Male,Win
908,Internet,DE,P,C,41-50,Male,Win
909,Internet,AM,P,C,18-30,Male,Win
910,Management Consulting,CH,P,F,31-40,Female,Win
911,Internet,DE,O,B,41-50,Male,Win
912,Internet,DE,P,C,31-40,Male,Win
913,E-learning,IN,P,A,18-30,Male,Loss
914,Financial Services,DE,P,B,18-30,Male,Win
915,Higher Education,US,D,H,18-30,Female,Win
916,Consumer Electronics,DE,P,C,41-50,Male,Win
917,Motion Pictures & Film,CH,P,A,18-30,Male,Loss
918,Insurance,ID,P,C,31-40,Male,Loss
919,Online Publishing,US,C,F,18-30,Female,Loss
927,Higher Education,US,D,H,31-40,Male,Win
932,Information Technology & Services,BR,P,A,31-40,Male,Win
933,Real Estate,US,O,A,18-30,Female,Loss
937,Staffing & Recruiting,DE,C,E,18-30,Female,Win
940,Management Consulting,US,P,F,41-50,Male,Win
941,Building Materials,TR,S,A,18-30,Male,Loss
942,Information Technology & Services,US,P,C,31-40,Male,Win
943,Computer & Network Security,DE,P,C,18-30,Male,Win
944,Computer Software,DE,O,B,41-50,Male,Win
945,Computer Software,GB,P,C,18-30,Male,Win
947,Computer Software,CA,C,F,31-40,Male,Win
948,Venture Capital,DE,S,B,31-40,Male,Win
949,Outsourcing/Offshoring,IN,C,H,18-30,Male,Loss
952,Internet,US,C,H,18-30,Male,Win
953,Consumer Goods,TR,P,H,18-30,Male,Loss
954,Real Estate,DE,S,A,18-30,Male,Win
955,"Health, Wellness & Fitness",US,C,H,41-50,Male,Win
957,Management Consulting,FR,S,C,31-40,Female,Win
958,Logistics & Supply Chain,DE,P,B,18-30,Male,Win
959,Apparel & Fashion,US,P,G,18-30,Female,Loss
961,Hospital & Health Care,US,C,H,31-40,Female,Win
962,Graphic Design,ES,P,C,31-40,Female,Loss
966,Information Services,DE,O,B,41-50,Male,Loss
967,Education Management,US,P,B,18-30,Male,Win
968,Hospitality,US,C,H,31-40,Male,Win
970,Venture Capital,DE,N,A,18-30,Male,Win
971,Marketing & Advertising,DE,O,C,31-40,Male,Win
975,Staffing & Recruiting,US,P,F,31-40,Female,Win
976,Computer Software,US,P,F,18-30,Female,Win
977,Financial Services,GB,P,B,41-50,Male,Win
979,Information Technology & Services,DE,N,B,31-40,Female,Win
980,Internet,DE,P,B,51-60,Female,Win
981,Higher Education,US,D,E,18-30,Female,Loss
984,Computer Software,DE,C,H,18-30,Male,Win
986,Oil & Energy,IT,P,F,18-30,Male,Loss
988,Banking,US,C,H,31-40,Female,Win
990,Hospital & Health Care,US,C,H,31-40,Male,Win
991,Aviation & Aerospace,BR,P,B,41-50,Male,Loss
992,Information Technology & Services,AE,P,C,31-40,Male,Win
993,Hospital & Health Care,US,D,F,31-40,Male,Loss
994,Entertainment,US,C,G,31-40,Male,Loss
995,Writing & Editing,DE,E,A,18-30,Female,Loss
997,Investment Management,KW,C,C,41-50,Male,Loss
998,Consumer Goods,IN,C,H,18-30,Male,Loss
999,Computer Software,EG,P,E,31-40,Female,Loss
1001,Financial Services,DE,P,B,18-30,Male,Win
1002,Financial Services,GB,P,C,51-60,Male,Win
1003,Marketing & Advertising,GB,C,C,18-30,Male,Win
1004,Staffing & Recruiting,GB,P,C,18-30,Female,Win
1007,Computer Software,DE,P,B,18-30,Male,Win
1008,Leisure & Travel,IN,P,B,31-40,Male,Win
1009,Computer Software,IN,P,D,18-30,Male,Win
1012,Publishing,BR,P,C,18-30,Female,Loss
1015,Marketing & Advertising,US,P,C,31-40,Male,Win
1018,Higher Education,DE,N,C,31-40,Male,Win
1019,Computer Software,US,C,F,31-40,Male,Win
1020,Internet,DE,P,B,18-30,Male,Win
1022,Food & Beverages,DE,P,D,41-50,Male,Win
1023,Professional Training,US,P,B,41-50,Male,Win
1024,Staffing & Recruiting,DE,P,C,31-40,Male,Win
1025,Computer Software,US,C,E,18-30,Male,Win
1027,Hospital & Health Care,DE,P,B,18-30,Female,Win
1029,Nonprofit Organization Management,DE,N,B,18-30,Female,Win
1030,Import & Export,DK,P,A,31-40,Male,Loss
1031,Management Consulting,DE,C,A,31-40,Male,Win
1034,Renewables & Environment,DK,P,A,18-30,Male,Loss
1035,Information Technology & Services,AU,P,B,41-50,Male,Win
1038,Marketing & Advertising,US,P,B,31-40,Male,Win
1039,Telecommunications,DE,C,A,41-50,Male,Win
1041,Nonprofit Organization Management,IN,N,B,18-30,Male,Loss
1042,Management Consulting,DE,P,B,18-30,Male,Win
1043,Online Publishing,US,P,A,18-30,Male,Win
1044,Computer Software,RU,P,C,18-30,Male,Win
1045,Hospitality,DE,P,D,41-50,Male,Loss
1047,Machinery,DE,P,G,31-40,Male,Loss
1048,Venture Capital,US,P,B,51-60,Male,Win
1051,Aviation & Aerospace,US,P,D,31-40,Male,Loss
1052,Food & Beverages,US,C,H,18-30,Female,Win
1053,Internet,NL,C,F,31-40,Male,Win
1054,Internet,US,N,A,18-30,Female,Win
1055,Marketing & Advertising,US,P,B,41-50,Male,Win
1058,Broadcast Media,IN,P,F,31-40,Female,Loss
1059,Information Technology & Services,US,P,B,18-30,Male,Win
1060,International Trade & Development,DE,N,B,31-40,Male,Loss
1061,Information Technology & Services,DE,P,B,18-30,Male,Win
1062,Real Estate,AE,S,B,18-30,Female,Loss
1063,Venture Capital,DE,S,A,31-40,Male,Win
1065,Computer Software,FI,P,B,31-40,Male,Win
1066,Oil & Energy,US,C,H,51-60,Male,Win
1067,Marketing & Advertising,DE,C,E,31-40,Male,Win
1068,Philanthropy,US,N,A,18-30,Female,Loss
1069,Telecommunications,US,C,H,18-30,Female,Win
1071,Venture Capital,US,P,A,31-40,Male,Win
1073,Hospitality,US,C,H,18-30,Female,Win
1075,Marketing & Advertising,US,P,B,18-30,Male,Win
1077,Financial Services,US,C,H,31-40,Male,Win
1078,Computer Software,US,P,A,18-30,Male,Win
1079,Hospital & Health Care,DE,P,A,18-30,Male,Win
1080,Marketing & Advertising,GB,C,D,31-40,Male,Win
1081,Real Estate,DE,P,A,18-30,Female,Win
1082,Information Technology & Services,US,P,C,18-30,Male,Win
1083,Broadcast Media,DE,P,B,31-40,Male,Win
1086,Information Technology & Services,NO,C,B,18-30,Male,Win
1087,Renewables & Environment,AT,P,B,31-40,Male,Win
1088,Computer & Network Security,DE,P,B,18-30,Female,Win
1089,Law Practice,US,S,F,41-50,Male,Loss
1092,Real Estate,GB,P,B,18-30,Male,Win
1093,Staffing & Recruiting,US,P,F,18-30,Male,Win
1094,Information Technology & Services,DK,P,E,31-40,Male,Loss
1095,Automotive,DE,P,B,31-40,Male,Win
1096,Financial Services,DE,P,D,18-30,Male,Win
1098,Marketing & Advertising,FR,C,H,31-40,Male,Win
1099,Information Technology & Services,US,C,H,18-30,Female,Win
1100,Information Technology & Services,PT,P,B,31-40,Male,Win
1101,Sports,DE,C,D,18-30,Male,Loss
1103,Internet,US,P,A,18-30,Male,Win
1105,Civil Engineering,US,C,H,18-30,Female,Loss
1106,Venture Capital,US,S,C,31-40,Male,Win
1107,Venture Capital,US,S,C,41-50,Male,Win
1108,Entertainment,US,C,F,31-40,Male,Win
1110,Computer Games,DE,P,D,18-30,Male,Win
1113,Venture Capital,US,P,B,18-30,Female,Win
1114,Real Estate,SG,P,D,41-50,Male,Loss
1115,Entertainment,IN,P,F,18-30,Female,Loss
1116,Computer Software,DE,P,A,41-50,Male,Win
1117,Venture Capital,US,S,A,18-30,Female,Win
1118,Internet,US,P,C,31-40,Male,Win
1119,Telecommunications,MY,C,F,31-40,Male,Loss
1120,Entertainment,US,P,B,18-30,Female,Win
1122,"Health, Wellness & Fitness",DE,P,B,31-40,Male,Win
1123,Venture Capital,US,P,B,18-30,Female,Win
1124,Information Technology & Services,DE,P,B,41-50,Male,Win
1125,Computer Hardware,US,C,H,41-50,Male,Loss
1126,E-learning,US,S,B,31-40,Male,Win
1127,Hospital & Health Care,DE,P,A,18-30,Male,Win
1129,Computer Games,DE,C,C,31-40,Male,Win
1133,E-learning,US,D,H,31-40,Male,Loss
1134,Information Technology & Services,DE,S,C,18-30,Male,Win
1135,Accounting,US,P,C,18-30,Female,Win
1136,Internet,DE,P,B,41-50,Male,Win
1137,Information Technology & Services,NL,P,C,31-40,Male,Win
1142,Oil & Energy,DE,C,F,41-50,Male,Win
1143,Printing,US,P,C,41-50,Male,Win
1144,Computer Software,AU,C,F,31-40,Male,Win
1145,Information Technology & Services,US,P,D,31-40,Male,Win
1146,Venture Capital,DE,S,C,18-30,Male,Win
1148,Logistics & Supply Chain,US,C,H,18-30,Female,Loss
1149,Internet,US,P,D,18-30,Male,Win
1150,"Health, Wellness & Fitness",DE,P,A,18-30,Female,Win
1151,Internet,DE,P,B,31-40,Male,Win
1154,Hospital & Health Care,CA,C,H,31-40,Female,Loss
1155,Textiles,FR,P,G,18-30,Male,Loss
1157,Apparel & Fashion,DE,P,D,18-30,Male,Loss
1158,Financial Services,DE,P,C,18-30,Male,Win
1159,Automotive,DE,C,H,31-40,Male,Win
1160,Marketing & Advertising,AE,P,D,18-30,Female,Loss
1161,Venture Capital,IL,S,A,51-60,Male,Loss
1162,Venture Capital,DE,P,B,18-30,Male,Win
1165,E-learning,DE,P,D,18-30,Male,Loss
1167,Events Services,DK,P,B,18-30,Male,Loss
1168,Information Technology & Services,DE,P,B,18-30,Male,Win
1169,Internet,US,N,B,31-40,Male,Win
1171,Venture Capital,US,P,A,41-50,Male,Win
1172,Computer Software,DE,P,F,18-30,Female,Win
1173,Internet,GB,P,B,18-30,Male,Win
1176,Venture Capital,DE,S,B,18-30,Male,Win
1177,Computer Software,US,P,B,31-40,Male,Win
1178,Food & Beverages,DE,S,F,31-40,Male,Loss
1179,Marketing & Advertising,US,C,H,18-30,Male,Win
1182,Internet,DE,C,D,18-30,Male,Win
1184,Internet,US,P,D,18-30,Male,Win
1185,Consumer Services,DE,P,A,31-40,Male,Loss
1186,Information Technology & Services,US,P,D,18-30,Male,Win
1187,Financial Services,US,C,H,18-30,Male,Win
1189,Internet,US,P,C,18-30,Male,Win
1190,Research,DE,C,A,31-40,Male,Loss
1192,Venture Capital,US,P,B,31-40,Male,Win
1194,Internet,DE,P,B,31-40,Male,Win
1195,Marketing & Advertising,DE,D,B,31-40,Male,Win
1196,Real Estate,IT,P,A,31-40,Male,Win
1197,Computer Software,US,P,C,31-40,Male,Win
1198,Computer Software,US,P,C,41-50,Male,Win
1199,Renewables & Environment,DE,C,D,31-40,Female,Loss
1203,Internet,US,P,A,31-40,Female,Win
1205,Computer Software,GB,P,C,41-50,Male,Win
1206,Internet,US,P,A,18-30,Male,Win
1207,Automotive,DE,P,B,18-30,Male,Win
1209,Venture Capital,US,P,B,41-50,Male,Win
1210,Computer Software,US,P,A,18-30,Male,Win
1211,Investment Banking/Venture,GB,P,C,41-50,Male,Win
1212,Information Technology & Services,US,C,H,41-50,Male,Win
1213,Media Production,AT,E,A,51-60,Male,Loss
1214,Motion Pictures & Film,US,P,C,51-60,Male,Win
1217,Venture Capital,DE,P,B,18-30,Male,Win
1218,Higher Education,CH,D,C,31-40,Male,Win
1219,Sports,FR,S,A,31-40,Male,Loss
1220,Civic & Social Organization,AT,P,G,18-30,Male,Loss
1221,Venture Capital,DE,S,A,51-60,Male,Win
1222,Real Estate,US,S,D,41-50,Male,Loss
1223,Renewables & Environment,US,N,B,51-60,Male,Win
1224,Internet,SG,P,C,31-40,Male,Win
1227,Computer Software,DE,O,B,18-30,Female,Win
1228,Internet,US,C,E,51-60,Male,Win
1229,Investment Management,US,P,A,41-50,Male,Win
1231,Internet,US,P,B,18-30,Male,Win
1232,Insurance,DE,P,C,18-30,Male,Win
1233,Consumer Goods,DE,P,B,18-30,Male,Win
1234,Venture Capital,DE,P,C,18-30,Male,Win
1236,Venture Capital,US,S,B,31-40,Male,Win
1237,Investment Management,DE,P,A,31-40,Male,Win
1238,Internet,DE,P,B,18-30,Male,Win
1240,Marketing & Advertising,ES,P,B,41-50,Male,Win
1241,Information Technology & Services,DE,O,C,31-40,Male,Win
1242,Marketing & Advertising,DE,O,A,31-40,Male,Win
1243,Financial Services,DE,P,D,31-40,Male,Win
1244,Computer Software,DE,P,B,31-40,Male,Win
1247,Internet,DE,P,C,18-30,Male,Win
1249,Food & Beverages,DE,P,B,18-30,Male,Win
1251,Renewables & Environment,US,N,B,31-40,Male,Win
1252,Internet,DE,P,C,18-30,Female,Win
1253,Events Services,US,P,B,18-30,Male,Win
1255,Internet,US,C,H,41-50,Male,Win
1256,Computer Games,DE,P,B,18-30,Male,Win
1257,Information Technology & Services,DE,P,B,41-50,Male,Win
1259,Information Technology & Services,DE,P,A,41-50,Male,Win
1260,Computer Games,GR,P,B,41-50,Male,Loss
1261,Real Estate,DE,P,B,31-40,Male,Win
1262,Marketing & Advertising,US,O,A,18-30,Female,Win
1263,Internet,US,P,C,18-30,Male,Win
1266,Internet,US,P,B,31-40,Male,Win
1268,International Affairs,US,N,A,18-30,Male,Loss
1269,Internet,US,P,B,31-40,Male,Win
1270,Management Consulting,US,P,B,41-50,Male,Win
1271,Program Development,PT,P,A,18-30,Male,Loss
1272,Education Management,US,D,G,41-50,Female,Loss
1273,Higher Education,DE,N,C,31-40,Male,Win
1275,Restaurants,US,P,H,18-30,Female,Win
1276,Law Practice,US,S,B,41-50,Male,Win
1277,Internet,US,S,B,31-40,Male,Win
1279,Market Research,GB,C,H,18-30,Male,Loss
1280,Leisure & Travel,PT,S,C,31-40,Male,Loss
1281,Investment Management,KW,C,C,41-50,Male,Loss
1282,Program Development,DE,P,A,18-30,Male,Win
1286,Automotive,DE,C,H,41-50,Male,Win
1287,Information Technology & Services,MT,P,C,18-30,Male,Win
1288,Management Consulting,DE,S,A,31-40,Female,Win
1289,Venture Capital,US,S,C,18-30,Male,Win
1291,Information Technology & Services,FR,C,H,18-30,Female,Win
1293,Management Consulting,PT,P,B,18-30,Male,Win
1294,Information Technology & Services,US,P,E,51-60,Male,Win
1295,Media Production,US,P,B,41-50,Male,Win
1296,Research,US,D,H,31-40,Male,Loss
1298,Medical Device,US,P,B,31-40,Male,Win
1299,Tobacco,US,C,H,18-30,Male,Loss
1302,Higher Education,US,P,B,18-30,Female,Win
1304,Management Consulting,US,P,A,41-50,Male,Win
1305,Marketing & Advertising,PT,P,B,18-30,Male,Win
1308,Information Technology & Services,US,C,H,31-40,Male,Win
1309,Higher Education,DE,N,C,31-40,Male,Win
1310,Marketing & Advertising,US,C,H,18-30,Male,Win
1311,Venture Capital,US,S,B,18-30,Male,Win
1313,Entertainment,US,P,D,31-40,Male,Win
1314,Internet,US,C,H,51-60,Male,Win
1315,Financial Services,US,P,A,31-40,Male,Win
1318,Investment Management,CA,P,A,31-40,Male,Win
1319,Consumer Goods,DE,P,B,18-30,Male,Win
1320,Marketing & Advertising,US,P,C,51-60,Male,Win
1321,Marketing & Advertising,US,C,C,31-40,Male,Win
1323,Education Management,US,C,B,41-50,Male,Win
1324,Internet,US,C,D,18-30,Female,Win
1325,Internet,US,D,A,18-30,Male,Win
1326,Education Management,US,D,B,31-40,Male,Win
1328,Financial Services,US,P,F,18-30,Male,Win
1331,Food & Beverages,US,P,D,41-50,Male,Win
1333,Management Consulting,BR,P,C,31-40,Male,Win
1334,Information Technology & Services,FR,C,H,31-40,Male,Win
1335,Information Technology & Services,DE,P,B,18-30,Male,Win
1336,Financial Services,US,P,C,41-50,Male,Win
1337,Renewables & Environment,US,P,B,51-60,Male,Win
1338,Computer Software,US,P,A,18-30,Male,Win
1339,Information Technology & Services,DE,P,A,41-50,Female,Win
1343,Computer Software,US,P,B,41-50,Male,Win
1344,Information Technology & Services,DE,P,A,31-40,Male,Win
1345,Oil & Energy,US,C,H,18-30,Male,Win
1346,Venture Capital,US,P,B,31-40,Male,Win
1347,Computer Games,GR,P,B,41-50,Male,Loss
1348,Investment Management,DE,P,C,31-40,Male,Win
1349,Financial Services,DE,P,C,18-30,Male,Win
1350,Higher Education,DE,N,C,31-40,Male,Win
1351,Computer Games,US,P,F,18-30,Male,Win
1353,Venture Capital,US,P,A,18-30,Male,Win
1354,Computer Software,US,P,F,31-40,Male,Win
1355,Marketing & Advertising,US,P,C,51-60,Male,Win
1357,Venture Capital,US,C,A,31-40,Male,Win
1358,Higher Education,US,D,A,18-30,Female,Win
1359,Computer Software,US,C,G,31-40,Male,Win
1360,Food & Beverages,DE,P,D,41-50,Male,Win
1362,Financial Services,DE,P,C,31-40,Male,Win
1365,Management Consulting,ES,P,C,31-40,Male,Win
1366,Internet,US,P,C,18-30,Male,Win
1367,Automotive,DE,P,C,18-30,Female,Win
1369,Investment Management,DE,P,C,31-40,Male,Win
1372,Human Resources,US,C,H,31-40,Female,Loss
1373,Information Technology & Services,AT,P,B,41-50,Male,Win
1375,Venture Capital,US,P,A,31-40,Male,Win
1376,Insurance,DE,C,H,31-40,Male,Win
1377,Information Technology & Services,US,S,C,18-30,Female,Win
1378,Museums & Institutions,US,N,E,31-40,Male,Loss
1379,Information Technology & Services,DE,P,A,31-40,Male,Win
1380,Internet,US,C,H,31-40,Female,Win
1381,Luxury Goods & Jewelry,IT,P,A,18-30,Male,Loss
1383,Financial Services,US,C,H,41-50,Male,Win
1386,Computer Software,DE,C,F,41-50,Male,Win
1388,Computer Software,DE,P,B,18-30,Male,Win
1390,Internet,US,P,F,31-40,Male,Win
1392,Insurance,DE,C,H,41-50,Male,Win
1393,Warehousing,US,P,E,18-30,Male,Loss
1394,Computer Software,US,P,H,41-50,Male,Win
1395,Professional Training,US,P,B,18-30,Female,Win
1396,Management Consulting,DE,S,H,18-30,Male,Win
1397,Information Technology & Services,CH,C,H,31-40,Male,Win
1399,Think Tanks,US,P,A,31-40,Male,Win
1402,Market Research,US,P,A,18-30,Male,Win
1405,Automotive,DE,P,C,18-30,Male,Win
1407,Internet,NL,P,C,18-30,Male,Win
1408,Marketing & Advertising,US,P,B,31-40,Male,Win
1409,Investment Banking/Venture,DE,P,A,18-30,Male,Win
1410,Telecommunications,CN,P,H,41-50,Male,Loss
1411,Venture Capital,US,S,A,18-30,Female,Win
1412,Financial Services,SE,P,F,41-50,Male,Win
1413,Higher Education,DE,N,C,31-40,Male,Win
1414,Computer Software,GB,P,B,31-40,Male,Win
1416,Civic & Social Organization,US,N,A,31-40,Male,Loss
1418,Gambling & Casinos,US,P,E,18-30,Male,Loss
1421,Computer Software,DE,C,H,31-40,Male,Win
1422,Information Technology & Services,AT,P,A,18-30,Male,Win
1423,Internet,US,P,B,41-50,Male,Win
1426,Computer Software,CH,P,C,41-50,Male,Win
1428,Marketing & Advertising,PT,S,A,31-40,Male,Win
1429,Computer Software,US,P,A,18-30,Male,Win
1430,Media Production,US,O,A,18-30,Male,Loss
1432,Hospitality,DE,P,B,41-50,Male,Win
1433,Information Technology & Services,NL,P,B,31-40,Male,Win
1435,Food Production,PK,P,F,18-30,Male,Loss
1436,Oil & Energy,US,C,H,18-30,Male,Win
1437,Marketing & Advertising,ES,O,B,31-40,Male,Win
1438,Electrical & Electronic Manufacturing,SG,C,H,51-60,Male,Loss
1440,Internet,DE,P,A,31-40,Male,Win
1441,Computer Software,US,P,C,31-40,Male,Win
1442,Oil & Energy,US,C,H,41-50,Male,Win
1443,Internet,DE,O,A,41-50,Male,Win
1444,Online Publishing,US,P,A,31-40,Male,Win
1445,Internet,DE,P,B,18-30,Male,Win
1447,Oil & Energy,US,C,H,31-40,Female,Win
1449,Information Technology & Services,US,P,D,18-30,Female,Win
1450,Consumer Electronics,TW,C,G,31-40,Male,Loss
1451,Computer Networking,US,P,A,31-40,Male,Win
1454,Airlines/Aviation,LT,P,E,31-40,Male,Loss
1455,Financial Services,GB,P,B,31-40,Male,Win
1457,Real Estate,US,P,E,31-40,Male,Win
1458,Information Technology & Services,US,P,A,18-30,Male,Win
1460,Hospital & Health Care,DE,P,C,31-40,Male,Win
1461,Computer Software,DE,P,A,18-30,Male,Win
1462,Publishing,US,P,D,31-40,Male,Loss
1463,Venture Capital,US,P,A,31-40,Male,Win
1465,Hospital & Health Care,US,C,C,31-40,Male,Win
1467,Computer Software,SE,P,A,18-30,Female,Win
1468,Computer Software,US,P,A,18-30,Male,Win
1469,Information Technology & Services,DE,P,B,18-30,Male,Win
1470,Marketing & Advertising,US,P,C,51-60,Male,Win
1471,Marketing & Advertising,BR,P,C,41-50,Male,Win
1472,Computer Games,US,P,A,41-50,Male,Win
1473,Entertainment,DE,P,B,18-30,Male,Win
1474,Information Technology & Services,DE,P,A,18-30,Male,Win
1477,Computer Games,US,P,F,31-40,Male,Win
1479,Computer Software,DE,P,A,31-40,Male,Win
1480,Internet,DE,P,D,18-30,Male,Win
1482,Retail,DE,S,A,18-30,Female,Win
1484,Marketing & Advertising,ZA,P,A,18-30,Male,Win
1485,Internet,DE,P,A,31-40,Male,Win
1486,Higher Education,DE,D,B,31-40,Female,Win
1487,Marketing & Advertising,US,P,B,31-40,Male,Win
1488,Automotive,FR,C,H,18-30,Male,Win
1489,Translation & Localization,DE,C,C,18-30,Male,Win
1490,Hospitality,IE,P,A,41-50,Male,Loss
1491,Real Estate,US,P,C,31-40,Male,Win
1492,Information Technology & Services,CH,P,A,31-40,Male,Win
1494,Music,US,P,F,31-40,Male,Loss
1495,Computer & Network Security,US,P,B,31-40,Male,Win
1499,Computer Software,US,P,A,18-30,Male,Win
1500,Online Publishing,DE,C,C,41-50,Male,Win
1501,Internet,DE,P,A,31-40,Male,Win
1502,Internet,BR,P,B,31-40,Male,Win
1503,Design,SE,P,B,41-50,Male,Win
1504,Nonprofit Organization Management,US,N,C,18-30,Male,Win
1505,"Health, Wellness & Fitness",DE,P,A,18-30,Male,Win
1506,Writing & Editing,US,E,A,31-40,Male,Loss
1507,E-learning,US,P,B,41-50,Male,Win
1508,Financial Services,US,S,D,18-30,Male,Win
1509,Marketing & Advertising,US,P,A,18-30,Male,Win
1512,Venture Capital,US,P,C,31-40,Male,Win
1513,Computer Software,US,P,C,31-40,Male,Win
1514,Internet,FR,S,A,31-40,Male,Win
1516,Venture Capital,DE,P,B,18-30,Male,Win
1517,Information Technology & Services,IE,C,A,41-50,Male,Win
1518,Information Technology & Services,DE,P,B,31-40,Male,Win
1521,Information Technology & Services,FR,P,B,31-40,Male,Win
1523,Financial Services,GB,P,A,41-50,Male,Win
1524,Venture Capital,DE,P,A,18-30,Male,Win
1525,Information Technology & Services,FR,P,A,31-40,Male,Win
1526,Financial Services,US,P,A,18-30,Male,Win
1527,Financial Services,BE,P,B,31-40,Male,Win
1528,Information Technology & Services,DE,E,A,18-30,Male,Win
1529,Venture Capital,DE,P,B,18-30,Female,Win
1531,Venture Capital,GB,P,B,31-40,Male,Win
1532,Internet,LV,S,B,18-30,Female,Win
1533,Computer Software,FR,P,B,31-40,Male,Win
1534,Venture Capital,DE,P,B,31-40,Male,Win
1535,Information Technology & Services,DE,P,A,18-30,Male,Win
1536,Information Technology & Services,FR,P,A,31-40,Female,Win
1537,Design,US,P,A,18-30,Male,Win
1538,Management Consulting,CA,P,B,18-30,Female,Win
1539,Financial Services,GB,P,D,31-40,Male,Win
1540,Venture Capital,CH,S,A,41-50,Male,Win
1541,Information Technology & Services,FR,P,A,31-40,Female,Win
1542,Media Production,FR,E,A,31-40,Male,Loss
1543,Computer Software,US,P,C,18-30,Female,Win
1545,Information Technology & Services,DE,P,B,31-40,Male,Win
1546,Computer Software,FR,P,A,41-50,Male,Win
1547,Media Production,FR,E,A,31-40,Male,Loss
1549,Information Technology & Services,CH,C,A,41-50,Male,Win
1550,Venture Capital,PT,P,A,31-40,Male,Win
1551,Information Technology & Services,DE,P,B,18-30,Male,Win
1552,Venture Capital,DE,S,B,31-40,Male,Win
1554,Internet,DE,P,B,18-30,Male,Win
1555,Internet,FR,P,B,18-30,Male,Win
1556,Venture Capital,US,P,B,18-30,Male,Win
1558,Venture Capital,DE,S,B,31-40,Male,Win
1559,Information Technology & Services,CH,P,B,31-40,Male,Win
1560,Computer Games,FI,O,B,31-40,Male,Loss
